estimand_type,estimand_id,g,t,k,method,post_mean,post_median,sd,q025,q05,q95,q975,p_bayes_tail_min,p_bayes_two_sided,p_bayes,max_control_odds,effective_sample_size,max_normalized_weight,fold_sizes,true,family,design,degree,N,rep,seed,task_estimator,target_g,target_t
GATT,g=4_t=4,4.0,4.0,0.0,current_hybrid,3.227009168341193,3.291127608942848,0.2893935171236229,2.7279063267268926,2.809424705086269,3.6243991816062,3.682687342597125,0.0,0.0,0.0,3.201629933842987,29.010744904150922,0.13011921212129438,"{""bar_pi"": 0.5, ""combined_weight_definition"": ""normalize(W * pi/(1-pi)) over controls"", ""control_ess"": 83.00352821424491, ""effective_sample_size"": 29.010744904150922, ""fold_sizes"": [{""evaluation"": 100, ""fold"": 0, ""train"": 100}, {""evaluation"": 100, ""fold"": 1, ""train"": 100}], ""max_control_odds"": 3.201629933842987, ""max_normalized_weight"": 0.13011921212129438, ""n_clipped"": 0, ""raw_max_control_odds"": 3.201629933842987}",3.578872287898059,correction_audit,baseline,1,200,0,1300356034,current_hybrid_logit,,
GATT,g=4_t=5,4.0,5.0,1.0,current_hybrid,3.229544559068084,3.2780867066144266,0.2372000929963466,2.664783759069717,2.7284955354938574,3.4724915823806835,3.51694166137892,0.0,0.0,0.0,2.660369466921741,31.909743381947077,0.10899196148204503,"{""bar_pi"": 0.5, ""combined_weight_definition"": ""normalize(W * pi/(1-pi)) over controls"", ""control_ess"": 85.07768974044171, ""effective_sample_size"": 31.909743381947077, ""fold_sizes"": [{""evaluation"": 100, ""fold"": 0, ""train"": 100}, {""evaluation"": 100, ""fold"": 1, ""train"": 100}], ""max_control_odds"": 2.660369466921741, ""max_normalized_weight"": 0.10899196148204503, ""n_clipped"": 0, ""raw_max_control_odds"": 2.660369466921741}",3.578872287898059,correction_audit,baseline,1,200,0,1300356034,current_hybrid_logit,,
GATT,g=4_t=6,4.0,6.0,2.0,current_hybrid,3.406006003364475,3.493924579146535,0.2262568607464702,2.886236150898296,2.926885085330785,3.6022467522288144,3.70135321112824,0.0,0.0,0.0,2.5391585701931962,34.74574393577143,0.09760798439626585,"{""bar_pi"": 0.5, ""combined_weight_definition"": ""normalize(W * pi/(1-pi)) over controls"", ""control_ess"": 83.14582768651148, ""effective_sample_size"": 34.74574393577143, ""fold_sizes"": [{""evaluation"": 100, ""fold"": 0, ""train"": 100}, {""evaluation"": 100, ""fold"": 1, ""train"": 100}], ""max_control_odds"": 2.5391585701931962, ""max_normalized_weight"": 0.09760798439626585, ""n_clipped"": 0, ""raw_max_control_odds"": 2.5391585701931962}",3.578872287898059,correction_audit,baseline,1,200,0,1300356034,current_hybrid_logit,,
GATT,g=4_t=7,4.0,7.0,3.0,current_hybrid,3.4644100279112333,3.48800180484382,0.3021405729853878,2.8314871617453785,2.91624541403548,3.870883952880461,3.9043870519861352,0.0,0.0,0.0,2.450780655785489,37.11479242450357,0.08014508341969204,"{""bar_pi"": 0.5, ""combined_weight_definition"": ""normalize(W * pi/(1-pi)) over controls"", ""control_ess"": 87.78053726123973, ""effective_sample_size"": 37.11479242450357, ""fold_sizes"": [{""evaluation"": 100, ""fold"": 0, ""train"": 100}, {""evaluation"": 100, ""fold"": 1, ""train"": 100}], ""max_control_odds"": 2.450780655785489, ""max_normalized_weight"": 0.08014508341969204, ""n_clipped"": 0, ""raw_max_control_odds"": 2.450780655785489}",3.578872287898059,correction_audit,baseline,1,200,0,1300356034,current_hybrid_logit,,
ES,k=0,,,0.0,current_hybrid,3.227009168341193,3.291127608942848,0.2893935171236229,2.7279063267268926,2.809424705086269,3.6243991816062,3.682687342597125,0.0,0.0,0.0,,,,{},3.578872287898059,correction_audit,baseline,1,200,0,1300356034,current_hybrid_logit,,
ES,k=1,,,1.0,current_hybrid,3.229544559068084,3.2780867066144266,0.2372000929963466,2.664783759069717,2.7284955354938574,3.4724915823806835,3.51694166137892,0.0,0.0,0.0,,,,{},3.578872287898059,correction_audit,baseline,1,200,0,1300356034,current_hybrid_logit,,
ES,k=2,,,2.0,current_hybrid,3.406006003364475,3.493924579146535,0.2262568607464702,2.886236150898296,2.926885085330785,3.6022467522288144,3.70135321112824,0.0,0.0,0.0,,,,{},3.578872287898059,correction_audit,baseline,1,200,0,1300356034,current_hybrid_logit,,
ES,k=3,,,3.0,current_hybrid,3.4644100279112333,3.48800180484382,0.3021405729853878,2.8314871617453785,2.91624541403548,3.870883952880461,3.9043870519861352,0.0,0.0,0.0,,,,{},3.578872287898059,correction_audit,baseline,1,200,0,1300356034,current_hybrid_logit,,
ATT,ATT,,,,current_hybrid,3.3317424396712467,3.388194583801254,0.2138094962979506,2.854987317384846,2.922464115373532,3.584581808922915,3.588399952981975,0.0,0.0,0.0,,,,{},3.5788722878980592,correction_audit,baseline,1,200,0,1300356034,current_hybrid_logit,,
GATT,g=4_t=4,4.0,4.0,0.0,raw_structured,3.577490547784812,3.575861489767453,0.0061142973259204,3.567609706648736,3.568824686536942,3.584854284037053,3.588734286687985,0.0,0.0,0.0,,,,,3.578872287898059,correction_audit,baseline,1,200,0,1300356034,raw_structured,,
